author,date,score,review
Melanie3k,9 months ago,5,Wow!!! Am I truly sleeping in my bed? These sheets are so luxurious! Costco please continue to carry these sheets. They are amazing! 
Rich,4 months ago,5,"We’ve been using these ever since Costco started carrying them, excellent sheets and great prices! The split kings are a great deal! "
Christine,9 months ago,5,These sheets are so soft and look beautiful on my bed.  The fit is very ample for deep mattresses.  I highly recommend these sheets. 
Byrdie from Nantucket,10 months ago,5,OMG.    These are amazing sheets..   Now I want to buy more…very luxurious…I feel like I’m sleeping under sheets in a 5 star hotel…. 
BarbM,3 months ago,5,"Beautiful sheets, with elastic all the way around the fitted sheets.  Cool and crisp, even after washing.  Definitely Hotel quality. "
ecmoth1,a year ago,4,The sheets are very comfortable.  The problem is that the sewing at the top of the sheets started raveling after the first washing. 
Bootsy,6 months ago,5,"Every time I travel and get to experience hotel sheets, I want them, finally,  I purchased,so glad,They are so soothing and comfy. "
Julie G,a year ago,5,Our new HOTEL SIGNATURE 800 THREAD COUNT COTTON SIX PIECE SHEET SET are surprisingly very comfortable! Happy we purchased this set! 
VTomlin,4 months ago,5,Very smooth and comfortable. Deep pockets and has a nice feature: a tag indicating top/bottom on the fitted sheet. Would buy again. 
Brian,a year ago,5,"Great quality in fabric and manufacture. Only shortcoming is the enormous size of the king pillowcases, definitely worth the price. "
Greg,9 months ago,5,These sheets make you feel like your in a Luxury Hotel. I do not know how anyone would not rate these sheets at the top of the list 
Anonymous,4 months ago,5,Love these soft sheets!  Bought the King split set and the bottom sheets fit our mattresses better than the ones from Sleep Number. 
giuboy,10 months ago,5,This is how sheets should be made! We havent slept on them yet but after washing I know they are going to exceed our expectations. 
dej353,9 months ago,5,"Wow, Quality, Soft, high-thread sheets!  I'm impressed! I have a very thick mattress but these fit perfectly!  Great Work, Costco! "
Jo Anne,9 months ago,5,"Finally found more top-quality cotton sheets to fit our SPLIT Cal King bed. They are crisp and comfy, just what I was looking for. "
jrunkle,8 months ago,5,These are the best sheets. Slightly cooling and luxe feel. I've had a set for years now and it's in great shape. Highly recommend. 
Deborah,7 months ago,5,"Very nice well made sheets, soft and comfortable. They fit our deep mattress with room to spare. I plan to buy a couple more sets! "
RRBoulder,4 months ago,5,These are heavier sheets but not hot. They feel good and substantial. I might use lighter sheets o. The summer but so far so good. 
Walter,4 months ago,4,Quality seems excellent But they run small and are very difficult to put on an queen mattress that does NOT have the quilted upper 
Debbie,4 months ago,5,Very nice sheet set! These sheets have the deep pocket ends that easily cover our thicker mattress. Very happy with this purchase. 
Sonya,9 months ago,5,"I love these sheets! They’re super soft, wear well, & wash well. I also like the lovely subtle neutral colors. I purchased 2 sets. "
Ronnie Mod,3 months ago,4,"Have twin XL for split king.  Fitted sheets are a little too large.  Nice feel to them, sleeps well.  Minimal amount of  wrinkles. "
Michelle,4 months ago,5,Sheets are very high quality.  I only had to wash them once and they are so soft and comfortable.  I highly recommend buying them! 
4 of Thirteen,9 months ago,5,Washed according to directions. They came out beautifully without wrinkles and are soft and smooth for sleeping. An amazing find. 
TLB226,8 months ago,4,"Great quality, but they don't stay on the mattress.   Wash well.  I'd buy again because they are still the best deal you can get. "
D ONeal,9 months ago,5,Love these sheets.  Have bought several sets over the last few years.  They are soft and wash nicely.  I put them on all my beds. 
Scott4991,a year ago,4,These are nice sheets. I don’t know much about sheets but they feel real nice. We’ll buy another set when they are on sale again. 
Clotheshorse,a year ago,5,These are extremely nice sheets. They have a nice weight and do not wrinkle. Best sheets I have purchased. I will buy them again! 
Blue Sky,4 months ago,5,"Great set of sheets for my masterbed! The fitted sheet did indeed fit my mattress (not all that advertise 16"" depth actually do). "
Debbie,7 months ago,5,Very soft sheets. Very helpful that the bottom sheet has labels on each side. Really helps when making the bed.  Love the fit!!! 
Susan,9 months ago,5,"My favorite sheets! I can’t sleep without these! I’ve been buying them for years.  Please Costco, don’t ever stop selling these! "
Angie,a year ago,5,These are quality sheets. This is the second set I’ve purchased and the first lasted two years washing weekly! They don’t shrink 
Anonymous,5 months ago,5,"Nice quality sheets. Thick, hefty, and cozy! They fit my new 14"" Cali king well, and stay put too, no stretched out saggy areas. "
Melvee,4 months ago,5,"This is my second set of these sheets. I love the smooth texture, the overall size (generous!) and the extra set of pillowcases. "
Nancy,4 months ago,2,The sheets were a little too heavy and scratchy for our liking. So I returned them. I was disappointed that they weren't better. 
FlyFish,4 months ago,5,This is my second set purchased in January 2024.  They are simply great in look and feel.  I am happy I found them on CC online! 
Suz33,9 months ago,5,Heavy weight fabric. Does not feel like it traps in heat. Smooth to the touch. Nice color fits well on the bed no slippage noted 
No name,3 months ago,5,These sheets are nice and luxurious! The bottom sheet even has gathered elastic seams to accommodate different mattress depths. 
Kitti,4 months ago,5,"Great sheets. I have purchased them before and the wear well, launder nicely and look great.  The Cal-King is an excellent fit. "
SandD,9 months ago,5,High quality high thread count sheets. They are heavier than lower thread count sheets as you would expect. Should last longer. 
Becky,5 months ago,5,"These are the best sheets around....the right weight, size, sheen, coolness, and all around comfort.    The 600 count is awful. "
Kay28,11 months ago,3,"Not as soft as I had expected.  Too Bad, I was really excited to try them.  Maybe Egyptian cotton at 800 count would be softer. "
CarolynCB,4 months ago,4,"These sheets seem nice. I like sateen sheets the best, but these will do. I have only washed them once, so I hope they hold up. "
Debbie Weber,8 months ago,4,"While the fabric feels very nice, the fitted sheet doesn't fit as tightly as it should on our king mattress, that's extra deep. "
Phyllis K,9 months ago,5,"Beautiful sheets. Well made, fit nicely, launder nicely, excellent quality. Probably the best bed sheets I have ever purchased. "
Sandi,4 months ago,5,"We were extremely pleased with these sheets!  Soft luxurious, & fitted sheets have deep pockets to secure it. Highly recommend! "
Dsell,8 months ago,3,They're not as soft as they should be. I have purchased other high thread count sets from Costco before that were far superior. 
Bob H,4 months ago,4,Great quality sheets. Only negative is my Cal King sheets are a little narrow not allowing them to be tucked in on both sides b 
Carolyn,a year ago,5,"Luxurious sheets that breath. Very thick, soft cotton. Yarn so fine it feels like satin. Washes up nicely with minimal wrinkles "
Mrs Hanson,3 months ago,5,"I love these sheets, I have purchased these 3 times now, the quality and price are unbeatable, once again Costco comes through! "
